                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0413,                 62.093,                  3.695,                      0,                      0,                      0,                      0,                 4.2742,                 124.54,                   2.49,                  8e-05,                  8e-05,                  8e-05
                      2,                 6.2413,                 57.399,                 3.7581,                      0,                      0,                      0,                      0,                 4.2527,                 124.54,                  2.479,             0.00017881,             0.00017881,             0.00017881
                      3,                 7.0226,                 35.882,                 4.1404,                      0,                      0,                      0,                      0,                 4.1996,                 124.54,                 2.4516,              0.0002763,              0.0002763,              0.0002763
                      4,                  6.974,                 26.148,                 3.7192,                      0,                      0,                      0,                      0,                 4.1304,                 124.46,                 2.4147,             0.00037248,             0.00037248,             0.00037248
                      5,                 6.4992,                 14.582,                 3.1245,                      0,                      0,                      0,                      0,                 3.9665,                  121.8,                 2.3292,             0.00046733,             0.00046733,             0.00046733
                      6,                 5.3106,                 6.5729,                 2.5477,                      0,                      0,                      0,                      0,                 3.8088,                 121.38,                 2.2454,             0.00056086,             0.00056086,             0.00056086
                      7,                 4.2679,                 3.8584,                 2.3837,                      0,                      0,                      0,                      0,                 3.5755,                 114.88,                 2.1218,             0.00065307,             0.00065307,             0.00065307
                      8,                 3.9125,                 3.0366,                 1.9257,                      0,                      0,                      0,                      0,                 3.4381,                 109.66,                 2.0491,             0.00074396,             0.00074396,             0.00074396
                      9,                 3.5962,                 2.4286,                 1.9036,                      0,                      0,                      0,                      0,                 3.1198,                 93.146,                 1.8755,             0.00083354,             0.00083354,             0.00083354
                     10,                 3.3812,                 2.0909,                 1.7475,                      0,                      0,                      0,                      0,                 2.6173,                 34.901,                 1.6048,             0.00092179,             0.00092179,             0.00092179
                     11,                 3.5011,                 1.8587,                 1.7023,                      0,                      0,                      0,                      0,                 2.0061,                 30.156,                 1.2643,              0.0010087,              0.0010087,              0.0010087
                     12,                 3.3099,                  1.741,                 1.5727,                      0,                      0,                      0,                      0,                 1.9438,                 30.109,                 1.2244,              0.0010943,              0.0010943,              0.0010943
                     13,                 3.2135,                 1.7494,                 1.5234,                      0,                      0,                      0,                      0,                 2.0222,                 29.521,                 1.2681,              0.0011786,              0.0011786,              0.0011786
